iter	Passed	Remaining
0	95	95321
1	192	95917
2	290	96545
3	392	97662
4	495	98567
5	615	101895
6	725	102872
7	835	103584
8	932	102681
9	1027	101722
10	1129	101528
11	1221	100573
12	1316	99965
13	1413	99557
14	1513	99372
15	1603	98643
16	1697	98146
17	1789	97636
18	1894	97811
19	1978	96935
20	2075	96774
21	2153	95751
22	2236	94990
23	2313	94077
24	2411	94048
25	2494	93452
26	2602	93802
27	2716	94314
28	2800	93777
29	2894	93603
30	2992	93526
31	3094	93617
32	3197	93708
33	3299	93754
34	3401	93771
35	3472	92992
36	3557	92602
37	3631	91933
38	3704	91279
39	3799	91184
40	3872	90589
41	3940	89890
42	4035	89815
43	4110	89316
44	4192	88966
45	4259	88328
46	4342	88053
47	4417	87620
48	4502	87383
49	4568	86801
50	4677	87043
51	4774	87036
52	4865	86930
53	4935	86470
54	5000	85914
55	5103	86035
56	5189	85851
57	5274	85663
58	5332	85042
59	5410	84772
60	5494	84586
61	5593	84620
62	5687	84587
63	5758	84217
64	5875	84513
65	5972	84522
66	6072	84558
67	6158	84403
68	6231	84083
69	6311	83846
70	6410	83880
71	6521	84056
72	6605	83877
73	6670	83474
74	6745	83192
75	6819	82910
76	6922	82980
77	7010	82870
78	7102	82797
79	7198	82783
80	7300	82826
81	7403	82882
82	7515	83028
83	7586	82732
84	7712	83021
85	7821	83130
86	7912	83031
87	7988	82785
88	8106	82981
89	8203	82945
90	8270	82609
91	8367	82580
92	8435	82271
93	8497	81898
94	8583	81766
95	8665	81598
96	8755	81505
97	8827	81246
98	8901	81010
99	8974	80766
100	9059	80642
101	9156	80614
102	9231	80392
103	9293	80063
104	9390	80046
105	9493	80069
106	9562	79804
107	9665	79833
108	9755	79744
109	9878	79922
110	9952	79708
111	10048	79668
112	10117	79414
113	10209	79345
114	10303	79288
115	10390	79185
116	10452	78884
117	10521	78643
118	10625	78660
119	10686	78367
120	10767	78216
121	10847	78069
122	10923	77887
123	10997	77694
124	11091	77642
125	11202	77707
126	11270	77471
127	11323	77141
128	11424	77136
129	11543	77250
130	11637	77198
131	11729	77129
132	11806	76961
133	11911	76979
134	12010	76957
135	12096	76851
136	12163	76618
137	12231	76405
138	12292	76142
139	12398	76161
140	12502	76167
141	12578	76001
142	12669	75927
143	12788	76022
144	12876	75927
145	12961	75818
146	13063	75802
147	13141	75649
148	13230	75564
149	13303	75387
150	13410	75402
151	13482	75218
152	13602	75301
153	13671	75105
154	13743	74922
155	13810	74720
156	13899	74632
157	13981	74509
158	14065	74396
159	14154	74312
160	14225	74132
161	14304	73995
162	14379	73837
163	14448	73652
164	14520	73483
165	14601	73361
166	14692	73288
167	14778	73190
168	14883	73184
169	14959	73037
170	15044	72936
171	15161	72984
172	15280	73048
173	15387	73044
174	15462	72895
175	15545	72783
176	15623	72646
177	15701	72509
178	15783	72391
179	15857	72239
180	15959	72213
181	16037	72079
182	16113	71938
183	16200	71844
184	16313	71867
185	16426	71886
186	16509	71778
187	16604	71718
188	16692	71629
189	16764	71470
